accuracy	nps
0.7502581546	harmonic elimination
0.7502393047	ultrashort
0.7502393047	conservation
0.7502393047	introductory
0.7501048253	cable driven
0.7500986626	between
0.7500832375	bit rate
0.7500729373	physical layer network coding
0.7500706840	energy efficient resource allocation
0.7500582416	linked
0.7500316726	view synthesis
0.7500193963	sites
0.7500193963	reception
0.7500146142	16
0.7500126118	auto encoder
0.7499970221	femtocell networks
0.7499440182	starting
0.7499388614	+
0.7499037655	traffic control
0.7498950463	approximations
0.7498950463	installations
0.7498950463	comprehension
0.7498950463	dust
0.7498950463	docker
0.7498333272	high fidelity
0.7498312018	polarization insensitive
0.7497949878	actuator fault
0.7497599662	signal separation
0.7497587977	thermography
0.7497587977	micron
0.7497587977	teacher
0.7497587977	indexes
0.7497566569	output filter
0.7496666882	logic gate
0.7496604900	calibration method
0.7496428775	band pass
0.7496372915	second order
0.7496196152	centered
0.7496140100	industrial wireless
0.7495849948	grid connection
0.7494925548	multi cell
0.7494917768	crystalline
0.7494731072	novel
0.7494670216	coherent receiver
0.7494524335	grid voltage
0.7494037879	reed solomon
0.7493101546	aerial robots
0.7493069122	flux switching permanent magnet machine
0.7491292250	bond graph
0.7490490857	metric learning
0.7490198396	side channel attack
0.7490051199	urban rail transit
0.7489971464	induced transparency
0.7489816989	video retrieval
0.7489679085	pin
0.7489679085	cleaning
0.7489429121	residual stress
0.7488600858	top
0.7488449412	weibull
0.7488121019	evoked potential
0.7488058136	millimeter wave communications
0.7487989832	memristor based
0.7487729530	vehicle to grid
0.7487647878	fluorescence microscopy
0.7487578433	boundaries
0.7487384022	perturbation
0.7487384022	satellites
0.7487205779	wind power plant
0.7487137406	nanowire transistors
0.7487109746	light emission
0.7487049577	gas chromatography
0.7486882930	error rate
0.7486777468	wind energy conversion system
0.7486118190	purpose
0.7486061015	remaining useful life
0.7485377532	single frequency
0.7485267093	electromagnetic shielding
0.7485174988	patch antenna array
0.7484796689	cervical
0.7484704667	secondary school
0.7484280785	type 2 diabetes
0.7484115935	narrow linewidth
0.7483596645	low pressure
0.7483489393	nonuniform
0.7483481618	horizon
0.7483313233	high altitude
0.7483303053	capsule
0.7483303053	spontaneous
0.7483026057	photonic devices
0.7482829876	multi class
0.7482423754	certificate
0.7482423754	paralleled
0.7482423754	cumulative
0.7482423754	tdma
0.7482423754	cognition
0.7482201696	information dissemination
0.7481315636	welcome
0.7481000889	leo satellite
0.7480790531	prostate
0.7480633203	single mode
0.7480616815	height estimation
0.7480503529	aggressive
0.7480043488	dbm
0.7480043488	casting
0.7480043488	follow
0.7480043488	meters
0.7478901246	drinking water
0.7478751743	inverse problem
0.7478652922	fdd massive mimo
0.7478300468	full duplex
0.7478230548	radio waves
0.7478059547	to
0.7477965709	high definition
0.7477936975	polarimetric sar images
0.7477359393	generative adversarial network
0.7477331240	ch
0.7477079572	complex systems
0.7477015473	signal classification
0.7476994374	multi task
0.7476796618	relief
0.7476796618	reproducibility
0.7476542689	data set
0.7476533773	correcting
0.7475952856	objective
0.7475827455	wdm transmission
0.7474901328	iii
0.7474732905	multicast beamforming
0.7474538028	arcs
0.7474305733	smart meters
0.7474296534	direct matrix converter
0.7474016321	helical antenna
0.7473880894	charger
0.7473316663	comparative
0.7473291378	spectrum sensing in cognitive radio
0.7473190866	series resonant
0.7473097997	yb
0.7472786293	multi step
0.7472217254	hardware trojans
0.7471495020	h
0.7471131572	perturbed
0.7470998539	twitter data
0.7470683832	nw
0.7470683832	impregnated
0.7470683832	disordered
0.7470683832	optoelectronics
0.7470079416	saudi arabia
0.7470003523	leakage inductance
0.7469886289	fibres
0.7469886289	combinational
0.7469470022	historical
0.7469349298	crossing
0.7469330527	phononic
0.7469330527	exhaust
0.7469330527	senior
0.7469330527	mount
0.7469330527	reciprocity
0.7468924650	service management
0.7468835121	dependability
0.7468703683	switched nonlinear systems
0.7468133542	transconductance
0.7468133542	inequalities
0.7468133542	pilots
0.7468133542	concurrency
0.7467811810	trust evaluation
0.7467629008	robotic gripper
0.7467621318	dielectric spectroscopy
0.7467561743	rough
0.7467226935	water supply
0.7466984533	avalanche
0.7466984533	insulated
0.7466885210	administration
0.7466885210	dpsk
0.7466885210	zeros
0.7466885210	career
0.7466832201	secrecy capacity
0.7466663732	cooperative communication
0.7466587398	wireless power
0.7466462472	bow tie
0.7466137705	coverage analysis
0.7466067089	photoacoustic
0.7465866312	priority scheduling
0.7465505007	al inf
0.7465356721	secret sharing scheme
0.7465327995	high energy
0.7465085370	unmanned
0.7464959578	subspace identification
0.7464403879	imbalanced data
0.7464335912	incentive
0.7464296851	document clustering
0.7463948308	wireless power transfer systems
0.7463913261	underwater wireless sensor networks
0.7463561286	quality metrics
0.7463388514	hardware implementation
0.7462935084	chemical processes
0.7462294516	support vector
0.7462023707	artificial pancreas
0.7461688937	rate control
0.7461535430	genetic
0.7461492748	formal methods
0.7461271217	carotid artery
0.7461138755	fano
0.7461067140	peak efficiency
0.7460596950	scales
0.7459366315	landsat
0.7458717403	finite difference time domain
0.7458539223	2.0
0.7458498270	brightness temperature
0.7458252691	borne
0.7457912656	post stroke
0.7457783776	laa
0.7457416922	sensor node
0.7457415005	hardware software co design
0.7456956621	human gait
0.7456633201	buck
0.7456150512	source drain
0.7455936894	earth orbit
0.7454584366	five
0.7454388942	pifa
0.7454359449	tolerant
0.7454175542	reaching law
0.7454058948	polarized
0.7453779974	correlated sources
0.7453336872	mode conversion
0.7453134967	contours
0.7452632977	a
0.7452547561	inverted
0.7452431583	circularly polarized microstrip antenna
0.7452411746	slot waveguide
0.7452267795	demo
0.7452139032	graded
0.7451949995	virtualized network
0.7451453398	dash
0.7449801932	static output feedback
0.7449535472	bat
0.7448699424	optically transparent
0.7448514463	reader
0.7448467561	bistatic radar
0.7447947257	100
0.7447564283	trading
0.7447541971	stepped impedance
0.7447510961	intermodulation
0.7447409186	coarse
0.7447127133	ns
0.7446811568	single ended
0.7446584944	spin torque
0.7445255951	turbine blades
0.7445122759	outer rotor
0.7444709092	index of authors
0.7444668044	wireless powering
0.7444366194	measurement techniques
0.7444248027	online social networks
0.7444158535	implicit
0.7444033081	fe inf
0.7444016885	demonstration
0.7443761255	crowd sourcing
0.7443630093	closed
0.7443545407	fidelity
0.7443545407	entity
0.7443545407	magnets
0.7442658191	underwater image
0.7442281622	obstacle
0.7442243706	fdsoi
0.7441748247	standard cell
0.7440942560	agent based
0.7440654730	photon pairs
0.7438745736	boxes
0.7438745736	vegetable
0.7438745736	hazardous
0.7438745736	magnetorheological
0.7438745736	sandwich
0.7438504171	5g communications
0.7438196458	cage induction
0.7437973981	simulink
0.7437111653	dtn routing
0.7437068452	pneumatic artificial
0.7437006324	examination
0.7436607937	infrared thermography
0.7436570879	policy search
0.7436467668	job shop
0.7436297493	m2m communication
0.7436162475	health management
0.7435990339	cavity backed
0.7435877834	fresnel
0.7435877834	scanned
0.7435877834	rhythm
0.7435877834	nanoporous
0.7435820113	neighbor
0.7435587011	effectiveness
0.7435487142	radiator
0.7435487142	apparatus
0.7435284684	pc
0.7435268541	dual band bandpass filter
0.7435126962	peer
0.7434778844	estimate
0.7434423441	evidential
0.7434423441	volt
0.7434226950	diode clamped
0.7434082229	web application
0.7434070890	range extension
0.7434007995	parameter uncertainties
0.7433964254	input saturation
0.7433272767	centre
0.7432844037	ultrasonic transducers
0.7432782166	reaction force
0.7432001582	rf power
0.7431730251	award
0.7431717950	multi domain
0.7431675600	salesman problem
0.7431429375	day ahead
0.7431087744	descriptor systems
0.7430797643	of
0.7430527060	missiles
0.7430527060	interferometers
0.7430157236	vessels
0.7429506218	prime
0.7429506218	codebook
0.7429506218	visualisation
0.7429210273	peer to peer
0.7429199756	not
0.7429058330	temperature compensated
0.7428747780	w
0.7428663513	blast furnace
0.7427926892	signal generator
0.7427913066	provider
0.7427902511	crime
0.7427669270	b
0.7427229497	terahertz spectroscopy
0.7427168097	free space optical
0.7427112259	optical access networks
0.7426887402	planar antenna
0.7426825925	mel frequency cepstral
0.7426804168	trustworthy
0.7425228794	service orchestration
0.7425218790	intensive
0.7424636300	extensible
0.7424636300	fdd
0.7424538903	increase
0.7424370150	continuous casting
0.7424227403	microring
0.7423821962	no reference image quality assessment
0.7423037115	electromagnetic environment
0.7422965397	multi mode
0.7422706085	extra
0.7422567170	facts devices
0.7422486486	hardware impairments
0.7421790419	signalized intersections
0.7421306950	orchestration
0.7421140305	backhaul networks
0.7420215035	fatigue detection
0.7420055607	failure mechanism
0.7420002462	rfid systems
0.7419885827	off
0.7419699519	optical switch
0.7419640541	capacitive micromachined ultrasonic
0.7418656206	floating gate
0.7418363103	plenary session
0.7418155067	drive systems
0.7417894551	mode locked fiber laser
0.7417699648	lumped
0.7417623617	delta sigma
0.7417489847	mobile health
0.7417225157	distillation column
0.7417010944	wireless transmission
0.7416793069	de
0.7415999926	heritage
0.7415281230	salinity
0.7415281230	rna
0.7415200592	failure detection
0.7415159219	resonant tunneling diode
0.7415109248	assistive technology
0.7415086781	device to device
0.7414237037	maximum efficiency
0.7414022310	single phase inverter
0.7413854424	short circuit faults
0.7413801085	field uniformity
0.7413307569	vco
0.7413262060	dual stator
0.7412849563	ev hev
0.7412791005	frequency estimation
0.7412719653	energy hub
0.7412707361	propulsion
0.7412616293	transactional memory
0.7412587649	phase locking
0.7412456824	nonlinear optimal control
0.7412355424	plasmons
0.7412076186	participatory
0.7411850722	concept drift
0.7411830034	control technique
0.7411673623	wireless mesh network
0.7411508294	pi control
0.7411408508	symmetric
0.7411223044	well
0.7410590532	input impedance
0.7410185642	overhead line
0.7410085362	coarse grained
0.7409532942	innovative practices session
0.7409523098	water heater
0.7409509579	landmark
0.7408896907	distributed computing
0.7408753097	cards
0.7408370832	brain machine interface
0.7408003385	fractional order pid
0.7407887297	zynq
0.7407887297	maxwell
0.7406712989	rough surface
0.7406696446	plenary talk
0.7406339045	dielectric elastomer
0.7406269391	sharing economy
0.7406158357	internet of things
0.7405942259	differential games
0.7405134697	slotted aloha
0.7405070417	resonant cavity
0.7405049947	likelihood
0.7404849816	damage detection
0.7404672633	adults
0.7404671775	multiuser mimo
0.7404309084	thin film transistors
0.7404249641	image processing techniques
0.7404198035	graph embedding
0.7404105471	tract
0.7404105471	arima
0.7404105471	testability
0.7404105471	uniaxial
0.7403625707	time varying
0.7403457932	relevance vector
0.7403276039	mechanisms
0.7403185541	charging of electric vehicles
0.7403157236	hearing
0.7403152989	multi criteria
0.7402796771	power flow control
0.7402707361	hall
0.7402686620	integrated navigation
0.7401712605	vacuum arc
0.7401553618	cloud computing environment
0.7401399476	legged
0.7401399476	forests
0.7401287342	photography
0.7401287342	repeat
0.7401287342	plenoptic
0.7401287342	meshed
0.7401287342	magnetoresistance
0.7401287342	exit
0.7401287342	expanding
0.7401151532	direct power control
0.7401098634	lightning strike
0.7400770201	forums
0.7400770201	magnetoelectric
0.7400770201	continuity
0.7400770201	analogue
0.7400448004	walk
0.7400352208	spectral range
0.7400050524	inductively coupled
0.7399785394	laser melting
0.7399328269	photon counting
0.7399022280	current limiting
0.7398861823	experimental research
0.7398849865	spinal cord
0.7398764058	passivity based control
0.7398666197	circular waveguide
0.7398477267	interest
0.7398414600	optimization method
0.7397923069	computer vision
0.7397883678	full bridge
0.7397726135	land surface
0.7396901825	divide and conquer
0.7396722022	optical parametric
0.7396607423	erbium doped fiber
0.7396024213	multimode interference
0.7395779988	plagiarism detection
0.7395453510	economic dispatch problem
0.7395173925	high repetition rate
0.7394460787	homodyne
0.7393913378	cost efficient
0.7393816029	flux reversal
0.7393219302	grey wolf
0.7393115515	nyquist
0.7393086147	remotely operated
0.7393038259	post processing
0.7392839132	latency reduction
0.7392824411	visual cryptography
0.7392636461	tracing
0.7392514003	meet
0.7392514003	ventricular
0.7392514003	conductance
0.7392267253	boundary control
0.7392208595	rssi
0.7391751102	satellite data
0.7391745108	kinetic
0.7391517835	non intrusive load monitoring
0.7391508964	space division multiplexing
0.7391469955	sram cells
0.7391338882	learning analytics
0.7391287723	reconfigurable antenna
0.7391071046	dc distribution
0.7390918749	multispectral images
0.7390903286	time domain
0.7390694138	square wave
0.7390674642	thermally induced
0.7390671342	tunable filter
0.7390657049	euclidean distance
0.7390589556	multi sensor
0.7390127377	speakers
0.7390124875	magnetic flux
0.7389137533	model predictive current control
0.7388875868	cochlear
0.7388875868	bowtie
0.7388875868	handwriting
0.7388568378	tri band
0.7388469579	calculation method
0.7388374257	hollow core fiber
0.7388364931	lcl
0.7387754503	division multiple access
0.7387612699	ai
0.7387369804	crystal
0.7387188848	committee
0.7386578448	made
0.7385991614	performance monitoring
0.7385861436	micro doppler
0.7385815445	built
0.7383748093	application specific
0.7383686690	electric grid
0.7383623327	simultaneous wireless information and power transfer
0.7382331300	collaborative learning
0.7382241125	searchable encryption
0.7382084854	differentially private
0.7381261475	controllability
0.7381107077	microelectrode array
0.7381054297	spectrum analysis
0.7380534767	temperature range
0.7380373154	3d printed
0.7380272674	convolutional
0.7380197100	artery
0.7379413537	pillar
0.7379413537	outer
0.7378831054	skin color
0.7378758536	data assimilation
0.7378609533	no
0.7378144431	thermal aging
0.7378016564	next generation
0.7377883349	logic synthesis
0.7377809545	reference architecture
0.7377252125	optimal resource allocation
0.7376992130	codebook design
0.7376775578	double sided
0.7376771742	multiagent systems
0.7376595078	dc dc boost converter
0.7376101403	flyback
0.7376030938	puf
0.7375722615	outlier
0.7375582382	5g cellular
0.7375523339	solar energy harvesting
0.7375506592	better
0.7374280817	state of charge
0.7373620795	12
0.7373467382	unsupervised classification
0.7373407886	directed graph
0.7372962325	luenberger
0.7372962325	lifestyle
0.7372962325	clothing
0.7372883517	intelligent agents
0.7372675579	speed range
0.7372672009	standing wave
0.7372569866	generalization
0.7372569866	uniformity
0.7372327815	phase shifting
0.7371564881	energy metering
0.7371333543	data integration
0.7371266342	automotive applications
0.7371132348	viirs
0.7370888322	image sequences
0.7370795500	improve
0.7370737280	challenged
0.7370737280	inorganic
0.7370737280	copula
0.7370737280	tanks
0.7370737280	descriptive
0.7370737280	persistence
0.7370737280	chemistry
0.7370737280	dominated
0.7370702661	augmentation
0.7370405427	fuzzy control
0.7370157466	exponential smoothing
0.7369865246	symmetry breaking
0.7369862240	latent semantic
0.7369746564	coarse to fine
0.7369624686	game theoretic analysis
0.7369404463	three level neutral point clamped
0.7369315085	logic circuits
0.7369300241	adaboost algorithm
0.7369292064	reflection coefficient
0.7368165775	iron losses
0.7367769261	quad band
0.7367706384	over
0.7367643521	brushless
0.7367581498	load balanced
0.7367064773	electronic equipment
0.7366906229	service provision
0.7366900199	log periodic dipole
0.7366489749	online social network
0.7366447053	program committee members
0.7366239271	photoconductive antenna
0.7366173599	from
0.7365725569	security vulnerabilities
0.7365532215	multicore systems
0.7365111664	dispatch
0.7365036024	sequencing
0.7364964027	65nm cmos
0.7364795598	data rate
0.7364475304	delta sigma modulator
0.7364286600	far field
0.7363811246	uas
0.7363501467	fractional order pid controller
0.7363499449	wavelength tunable
0.7363292722	miniaturization
0.7362459672	many
0.7361603201	mean
0.7361501577	m
0.7360891229	part
0.7360195360	30
0.7360039214	flux weakening
0.7359940208	ac ac
0.7359656608	spectral analysis
0.7359542961	game theoretic
0.7359515472	fault classification
0.7359479658	pipelined adc
0.7359401710	cavity backed slot
0.7359058827	knowledge bases
0.7358461854	analog to digital
0.7358457704	one dimensional
0.7358275134	wing
0.7358217293	pass filter
0.7357897484	mram
0.7357814388	low altitude
0.7357791505	lookup
0.7357791505	hazards
0.7357791505	gibbs
0.7357791505	compensators
0.7357333064	mixture
0.7357086273	manufacturing process
0.7355586820	backstepping control
0.7355417869	progress
0.7354606444	vehicle tracking
0.7354488297	c band
0.7354095347	ground station
0.7352898693	unknown environment
0.7352804588	peak power
0.7352626633	dip
0.7352363800	heterogeneous computing
0.7352352101	channel equalization
0.7352351950	multipath fading
0.7351798825	enhancement mode
0.7351306498	relaxation oscillator
0.7350901843	sar interferometry
0.7350586505	farms
0.7350360435	iso iec
0.7350312300	y
0.7350276408	gait training
0.7349871108	linear algebra
0.7349289467	wave imaging
0.7348705082	harmonic rejection
0.7348529744	lna
0.7348529744	imu
0.7348529744	asic
0.7348073970	respiration
0.7347520175	participatory sensing
0.7347400073	multi temporal
0.7347333064	rgb
0.7347293953	hybrid energy storage
0.7346699455	short term wind speed
0.7346636264	state observer
0.7346465585	control law
0.7346245723	mim
0.7346200072	power control
0.7346133539	term
0.7345889519	stability enhancement
0.7345769703	arma
0.7345769703	vocational
0.7345769703	claims
0.7345769703	josephson
0.7345109010	ground truth
0.7344909784	copy
0.7343464610	induction generators
0.7343309257	open innovation
0.7343231509	fir
0.7342635505	transient stability analysis
0.7342200582	deep space
0.7341649113	prescribed performance
0.7341634207	microscopic images
0.7341588381	optical vortex
0.7341576936	successive cancellation
0.7341501151	under unbalanced grid
0.7340839869	power distribution network
0.7340779676	harvesting
0.7340634080	at
0.7340589877	brain activity
0.7340413843	space vector
0.7340050662	upper body
0.7339969014	text recognition
0.7339919107	plc
0.7339875457	sliding
0.7339808720	mobile communication
0.7339649842	trials
0.7339649842	indium
0.7339595467	multibeam
0.7339512782	sc
0.7339471743	an exploratory study
0.7339249956	considering
0.7339166617	into
0.7338683171	trajectory prediction
0.7338605687	fuzzy rule
0.7338463838	reinforced
0.7338149091	terms
0.7338135709	sequence alignment
0.7338111720	modulation classification
0.7337989257	polarization diversity
0.7337934809	markov random
0.7337637093	digital tv
0.7337430509	rf front end
0.7337279025	cmos process
0.7337220456	plasmon polariton
0.7336460717	keyword
0.7336361593	output feedback control
0.7336360175	traffic offloading
0.7335798433	iec 61850
0.7335244507	strong coupling
0.7335037208	energy utilization
0.7334952225	various
0.7334905425	south
0.7334593002	performance indicators
0.7334558158	rf energy harvester
0.7334047521	digital watermarking
0.7333892825	panels
0.7333756509	regulatory
0.7333237693	optimality
0.7332898182	climbing robot
0.7332681783	solution processed
0.7331968987	ultraviolet
0.7331968987	atom
0.7331968987	workflows
0.7331968987	dac
0.7331968987	dependency
0.7331968987	leds
0.7331968987	lora
0.7331968987	iteration
0.7331968987	spring
0.7331968987	irregular
0.7331968987	neighborhood
0.7331873530	parallelization
0.7331647034	nash
0.7331647034	spam
0.7331647034	efficacy
0.7331636901	means
0.7331196129	oil paper insulation
0.7330794477	reflective
0.7330555734	two stage
0.7330477986	grid connected photovoltaic
0.7330169228	surface plasmons
0.7330084763	noise shaping
0.7329515114	location aware
0.7329180182	micro ring resonator
0.7328985226	in
0.7328725343	petroleum
0.7328333808	energy meter
0.7327868220	across
0.7327616388	ripple
0.7327489745	transient thermal
0.7327133016	markov
0.7327048837	hexapod robot
0.7327032895	large signal
0.7327018837	back cover
0.7326963486	front matter
0.7326760343	hamiltonian
0.7326760343	factory
0.7326733841	red blood
0.7326494325	type ii
0.7326487859	8
0.7326122209	machine learning methods
0.7326007153	fluid flow
0.7325961638	workshops
0.7325866614	sample size
0.7325760021	cars
0.7325522121	time delay
0.7325228573	around
0.7324982107	au
0.7324739562	conformance
0.7324739562	ohmic
0.7324263457	air quality monitoring
0.7323902320	coastal
0.7323902320	intermittent
0.7323902320	corrosion
0.7323902320	relevant
0.7323902320	compressor
0.7323902320	phantom
0.7323902320	dispersive
0.7323902320	dielectrics
0.7323902320	indian
0.7323902320	cylinder
0.7323281387	gathering
0.7323265210	image representation
0.7323039873	combinatorial testing
0.7322848049	single chip
0.7322647820	design parameters
0.7322515494	service robots
0.7322460936	service provisioning
0.7322379742	antipodal vivaldi antenna
0.7321924199	contrast enhanced
0.7321531693	optical fiber sensor
0.7321491209	table
0.7321456934	anti windup
0.7321450674	q
0.7321306492	parity check
0.7320753229	computer science
0.7320539565	spectral domain
0.7320280245	via
0.7320273269	magnetically
0.7320273269	logistic
0.7318924027	savings
0.7318434547	rare
0.7318434547	countries
0.7318145374	e commerce
0.7317526751	computing systems
0.7317340215	descent
0.7317232360	shifted
0.7317232360	bayes
0.7316893967	electron emission
0.7316877862	qoe
0.7316406083	fano resonances
0.7316219681	inverse problems
0.7316186967	saw
0.7315835965	ultra reliable
0.7315463072	data centre
0.7314556837	vr
0.7314522000	conducted
0.7314430438	mil std
0.7313441866	series parallel
0.7313373721	boltzmann machine
0.7312471817	tail sitter
0.7312401124	timing analysis
0.7312360848	7
0.7311697358	interior
0.7311082009	surface mounted
0.7311071551	exercise
0.7311071551	metro
0.7311071551	hexagonal
0.7311058652	or
0.7310826448	ti
0.7310630616	gap waveguide technology
0.7310320527	shock wave
0.7310318755	millimeter wave mimo
0.7310218269	coordinate descent
0.7310073024	robotic hand
0.7309658715	moving horizon
0.7309601254	multi frequency
0.7309468987	spike
0.7309468987	costs
0.7309148675	preliminary study
0.7308516477	beam splitter
0.7308368721	mems sensors
0.7308134383	medical applications
0.7308065947	vibration suppression
0.7307988182	sift algorithm
0.7307899980	index coding
0.7307797003	design thinking
0.7307159193	moisture
0.7307122714	micro grids
0.7306826199	notch
0.7306669040	sige hbts
0.7306319887	microstrip patch array
0.7306210828	ultra high speed
0.7305156106	following
0.7305092872	npc inverter
0.7304752459	lamps
0.7304683751	mismatch
0.7304683751	frameworks
0.7304683751	indexing
0.7304683751	coatings
0.7304683751	anonymous
0.7304683751	bridging
0.7304683751	p2p
0.7304675698	interrogation
0.7304543416	gaas
0.7304478272	texture classification
0.7304309622	tradeoff
0.7303909797	wafer level packaging
0.7303747810	software defined network
0.7303467579	probability distribution
0.7303462957	avoid
0.7303462957	institutions
0.7303408184	thermostatically controlled
0.7303054302	remotely controlled
0.7303013592	phasor measurement
0.7302935206	degrees of freedom
0.7302889766	altitude
0.7302837716	active filter
0.7301853869	lifetime prediction
0.7301706513	electrical characteristics
0.7301642563	fault detection and diagnosis
0.7300672258	ex vivo
0.7300059531	data flow
0.7299767374	thick
0.7299568330	g
0.7299515818	extracting
0.7299515818	datasets
0.7299264835	plenary
0.7298774464	and
0.7298497633	emotion classification
0.7298301715	low power consumption
0.7298259754	side scan sonar
0.7298083774	single photon avalanche
0.7297288085	siw
0.7297207333	erbium doped
0.7297159193	farm
0.7297043416	managing
0.7296540643	silicon waveguides
0.7296117978	phenomenon
0.7296071551	narrowband
0.7296071551	teams
0.7296071551	keynotes
0.7296071551	investment
0.7296071551	contextual
0.7296071551	probing
0.7296071551	visualizing
0.7296071551	secured
0.7295805262	personal health
0.7295444582	wse inf 2 inf
0.7294928360	sensor data fusion
0.7294792902	interval type 2
0.7294009172	cycling
0.7293352413	fully convolutional neural networks
0.7293256520	w band
0.7292817522	time series forecasting
0.7292688896	peak demand
0.7291693614	eeg data
0.7291502236	carotid plaque
0.7291445936	correlation filters
0.7291177006	bottom
0.7290923129	bending
0.7290846484	temperature gradient
0.7290265337	star
0.7290020517	nb
0.7289832733	establishment
0.7289440073	less
0.7288538294	molecular communications
0.7288286192	sign
0.7288114725	elastomer
0.7287556219	autonomous mobile robots
0.7286784126	pt
0.7285927536	power combiner
0.7285777706	failure recovery
0.7285161001	gnu radio
0.7284701442	data sources
0.7284412567	optimum design
0.7284237068	doping
0.7284224008	optimal power allocation
0.7284085977	bulk cmos
0.7283758048	upper limb exoskeleton
0.7283524964	stores
0.7283452923	tm
0.7282423609	millimeter wave radar
0.7282243091	drone
0.7282141830	defect prediction
0.7282063248	page
0.7281839491	vanet
0.7281637268	tsv
0.7281353294	best
0.7281327342	dg
0.7280638466	back propagation neural network
0.7280550707	asymmetric
0.7280530939	nanoparticle
0.7280530939	sustainability
0.7280271551	cybersecurity
0.7279920635	mass transfer
0.7279740485	service quality
0.7279726075	dual output
0.7279415967	graph based
0.7279169214	classification techniques
0.7279041723	pcb
0.7279041723	minimizing
0.7278702860	phase modulator
0.7278691002	hybrid electric vehicles
0.7278658871	health records
0.7278251310	workload
0.7278251310	challenge
0.7278251310	movements
0.7278111276	blood pressure estimation
0.7277941036	fan out wafer level package
0.7277769099	isolated dc dc converter
0.7277718707	brillouin scattering
0.7277581298	back
0.7277432156	paper award
0.7277347857	photovoltaic energy storage
0.7277009580	model free
0.7276808939	wall radar
0.7276749595	dielectric materials
0.7276009944	teachers
0.7275913746	news
0.7275531876	domain equalization
0.7275407504	dc fault
0.7275284838	course
0.7275201171	rotor uav
0.7275003188	through
0.7274784156	telescope
0.7274784156	roughness
0.7274784156	elliptic
0.7274672090	spare parts
0.7274418416	incorporating
0.7274418416	representations
0.7274418416	comparing
0.7274386304	client
0.7274386304	grade
0.7274386304	vcsel
0.7274309663	efficiency optimization
0.7274196332	more
0.7274193238	crowdsourcing
0.7274172327	deformation
0.7274165139	highway
0.7273882710	hvdc grids
0.7273213793	differential drive mobile
0.7273091795	unbalance
0.7273059935	signs
0.7273019443	ant colony optimization algorithm
0.7272745704	near infrared
0.7272243091	profiling
0.7272232360	digitally
0.7272225066	arc fault
0.7271694727	radiation patterns
0.7271464414	satellite networks
0.7271316648	peak shaving
0.7271303458	deep generative
0.7271295658	differential mode
0.7271283075	down
0.7271085083	inside
0.7270613948	consistency
0.7270394757	horn
0.7269953307	twin rotor
0.7269900559	outdoor
0.7269679882	bands
0.7269679882	simulating
0.7269658843	meander line
0.7269237068	dram
0.7269237068	telecom
0.7269237068	rating
0.7269237068	rat
0.7269105859	power cables
0.7269102937	english
0.7268567395	dynamic positioning
0.7268283578	the
0.7268219912	genome wide
0.7268129222	magnet
0.7268048514	aero engine
0.7267727221	visual navigation
0.7267711017	diagnostics
0.7267711017	performances
0.7267711017	benefits
0.7267638237	nmr
0.7267638237	noncontact
0.7267638237	steer
0.7267638237	audience
0.7267638237	metamorphic
0.7267537365	magnetic sensor
0.7267153115	attributes
0.7266826848	compatibility
0.7266236770	analyses
0.7265965234	nonlinear model
0.7265819609	frequency division multiplexing
0.7265705523	accelerating
0.7265704143	deep sea
0.7265603566	call
0.7265396699	test suite
0.7264418416	redundant
0.7263980012	mobile augmented reality
0.7263827402	literature
0.7263776983	pv inverters
0.7263669615	parallel plate
0.7263625157	code generation
0.7263521432	maintaining
0.7263405775	dd
0.7263301322	parameters identification
0.7263187286	alert
0.7263077862	channel modeling
0.7262959633	uav formation
0.7262811750	batch
0.7262624492	hyperbolic
0.7262624492	indices
0.7262624492	temperatures
0.7262624492	species
0.7262048139	dual wavelength
0.7262002898	processed
0.7262002898	dye
0.7262002898	ram
0.7262002898	clone
0.7261970064	requirements elicitation
0.7261493456	induction
0.7261206393	snow
0.7260807471	mine
0.7260186212	ag
0.7260130055	advisory committee
0.7259956728	cmut
0.7259796906	fair
0.7259093912	distributions
0.7259093912	mitigating
0.7259093912	spatiotemporal
0.7259093912	nanowires
0.7258974383	autonomous ground
0.7258859539	synchrotron
0.7258859539	polarimetry
0.7258859539	neumann
0.7258464899	polaritons
0.7258464899	transparency
0.7258311354	ar
0.7257628314	unidirectional
0.7257628314	ipmsm
0.7257001208	chaining
0.7256983291	upper limb rehabilitation
0.7256833870	microchip
0.7256833870	shrinkage
0.7256833870	fibonacci
0.7256833870	geophysical
0.7256833870	chart
0.7256833870	anatomy
0.7256443042	wire bonding
0.7256283418	tutorial
0.7256116911	with
0.7255975730	manets
0.7255718909	demand forecasting
0.7255478910	model parameters
0.7255400440	mems microphone
0.7255149243	mutually coupled
0.7255145408	cross modal
0.7254767596	mirror
0.7254767596	diamond
0.7254767596	changing
0.7254530277	supercontinuum
0.7253834034	wavelet decomposition
0.7253651424	markovian jump systems
0.7253535540	missing measurements
0.7253426303	mixed criticality
0.7252622435	distributed antenna systems
0.7252620294	dgs
0.7252531157	smart building
0.7252507710	multi rate
0.7252370833	mmwave communications
0.7252240685	rate distortion
0.7252168531	concurrent dual band
0.7251739641	vlsi circuits
0.7251626517	an empirical study
0.7251212193	geographic routing
0.7250937557	trench
0.7250937557	tourism
0.7250937557	instruction
0.7250937557	enterprises
0.7250937557	labeling
